sample_id,x_req,y_req,z_req,yaw_req,detected,depth_valid,tf_found,note,bbox_x,bbox_y,bbox_w,bbox_h,edge_flag,area_px,angle_deg,depth_median_m,x_est_base,y_est_base,z_est_base,x_est_world,y_est_world,z_est_world,x_gt_world,y_gt_world,z_gt_world,qx_gt,qy_gt,qz_gt,qw_gt,yaw_gt,ex,ey,ez,enorm,yaw_err_req_gt,perception_json,truth_json,x_est_world_old,y_est_world_old,z_est_world_old,ex_old,ey_old,ez_old,enorm_old,calibrated_error_used
s0010,0.15248395898925457,-0.07380995228294132,0.775,-0.16750246205825597,1,1,1,,86,54,106,84,0,7259.5,6.581944942474365,0.37809252738952637,-0.2579941382820083,0.10940175642656136,0.015950902188389515,0.148090875,-0.071860810,0.773583492,0.15248395898925454,-0.07380995228294132,0.7730662605351938,6.765242251542937e-16,-3.025555763632559e-16,-0.08365335642165754,0.9964949151698623,-0.16750246205825597,-0.004393084,0.001949142,0.000517232,0.004833826,0.0,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0010_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0010_truth.json,-0.4579941382820083,0.10940175642656136,0.7659509021883895,-0.6104780972712629,0.18321170870950268,-0.0071153583468043236,0.6374171834682532,1
s0011,0.08121531058519307,0.0663975336571581,0.775,-0.2626566115729739,1,1,1,,151,254,101,110,0,7538.5,90.0,0.33657971024513245,-0.3019663772619787,0.057772918167216136,0.15357546692576263,0.080292670,0.065659786,0.768006350,0.08121531058519307,0.0663975336571581,0.7720863829717731,-4.8611638177601594e-17,-2.3408942811686446e-16,-0.1309511252704808,0.9913888252297354,-0.2626566115729734,-0.000922640,-0.000737747,-0.004080033,0.004247611,-4.996003610813204e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0011_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0011_truth.json,-0.5019663772619787,0.057772918167216136,0.9035754669257626,-0.5831816878471717,-0.008624615489941964,0.1314890839539895,0.5978834704452739,1
s0012,0.07529944081172739,-0.04469682253688182,0.775,0.20369232712631835,1,1,1,,158,73,94,103,0,4826.0,37.1998176574707,0.33475810289382935,-0.23382714981736014,0.06390652706287872,0.05734758082644939,0.085024963,-0.052131524,0.774578575,0.07529944081172738,-0.04469682253688182,0.7719904351999992,-3.474240789668396e-18,2.1297185728501346e-16,0.10167018590641407,0.994818160920756,0.2036923271263184,0.009725522,-0.007434701,0.002588139,0.012512355,-5.551115123125783e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0012_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0012_truth.json,-0.43382714981736015,0.06390652706287872,0.8073475808264494,-0.5091265906290875,0.10860334959976053,0.035357145626450204,0.5217803183110075,1
s0013,0.08376270839785488,0.07734012870525127,0.775,-0.1342914586769878,1,1,1,,151,271,101,107,0,8394.0,90.0,0.3385695219039917,-0.30917833788510135,0.058200038033124235,0.1605810339878584,0.081831708,0.075523641,0.766738081,0.08376270839785488,0.07734012870525127,0.7719904351999992,1.5162791193085344e-16,-2.0184614574183444e-16,-0.06709528574308417,0.9977465723474342,-0.13429145867698777,-0.001931000,-0.001816488,-0.005252355,0.005883504,-2.7755575615628914e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0013_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0013_truth.json,-0.5091783378851014,0.058200038033124235,0.9105810339878584,-0.5929410462829563,-0.019140090672127033,0.13859059878785918,0.609223096665287,1
s0014,0.13800973923567414,-0.04929972851427618,0.775,-0.14556099522488225,1,1,1,,100,87,106,83,0,7246.5,5.04245138168335,0.3697933554649353,-0.26511661398078223,0.09734233013881693,0.04102953318332864,0.133292422,-0.047345833,0.771321010,0.13800973923567414,-0.04929972851427618,0.7719505135999992,-2.1729184777251828e-16,1.3627503590187198e-16,-0.07271626156831079,0.9973526684696488,-0.1455609952248823,-0.004717318,0.001953896,-0.000629503,0.005144615,5.551115123125783e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0014_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0014_truth.json,-0.46511661398078225,0.09734233013881693,0.7910295331833286,-0.6031263532164564,0.1466420586530931,0.01907901958332936,0.6209905798790026,1
s0015,0.16384875249266284,0.07960963578928128,0.775,-0.18035561231862904,1,1,1,,78,265,104,96,0,7902.0,6.170175075531006,0.38710951805114746,-0.3508297511542053,0.11906676079249923,0.13549337112273876,0.159456669,0.079370237,0.772082069,0.16384875249266284,0.07960963578928129,0.7718507095999992,4.570820279365195e-16,3.5837522067073045e-16,-0.09005563430663723,0.9959367363089029,-0.1803556123186293,-0.004392084,-0.000239399,0.000231359,0.004404684,2.498001805406602e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0015_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0015_truth.json,-0.5508297511542053,0.11906676079249923,0.8854933711227387,-0.7146785036468681,0.039457125003217935,0.1136426615227395,0.7247322835409072,1
s0016,0.10193950274794938,-0.0708184556802877,0.775,-0.21378290016336787,1,1,1,,132,45,114,90,0,7612.0,8.746161460876465,0.3485419750213623,-0.2358143155626522,0.06866823948796155,0.035860931337764745,0.098054408,-0.068638352,0.767792041,0.1019395027479494,-0.0708184556802877,0.7717509055999993,-7.99794326564149e-17,-9.326160389085169e-17,-0.10668801326819656,0.9942925463991396,-0.21378290016336718,-0.003885095,0.002180104,-0.003958864,0.005959817,-6.938893903907228e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0016_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0016_truth.json,-0.4358143155626522,0.06866823948796155,0.7858609313377647,-0.5377538183106017,0.13948669516824924,0.01411002573776543,0.5557290707376321,1
s0017,0.10607537841039716,0.0033807405978161092,0.775,0.05097864376255057,1,1,1,,130,163,62,82,0,4363.0,88.4306411743164,0.3488219380378723,-0.2762680669323489,0.0859003044303991,0.09440877785732299,0.110068902,0.002780131,0.778578726,0.10607537841039716,0.0033807405978160993,0.7718706703999992,2.497792062389192e-16,-1.0632558077670667e-16,0.025486561878705363,0.9996751648228553,0.05097864376254924,0.003993523,-0.000600609,0.006708056,0.007829877,1.3253287356462806e-15,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0017_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0017_truth.json,-0.4762680669323489,0.0859003044303991,0.844408777857323,-0.5823434453427461,0.082519563832583,0.07253810745732381,0.5926171983517436,1
s0018,0.10193406201246241,-0.05471234888958133,0.775,0.038992203138123516,1,1,1,,135,67,105,93,0,7086.5,90.0,0.34793034195899963,-0.24323618520265194,0.06899575685162647,0.04777544334235359,0.097710489,-0.054612172,0.768335193,0.10193406201246241,-0.054712348889581326,0.7719904351999992,3.84612080555212e-16,-3.6062325388619515e-16,0.019494866521075113,0.9998099570314978,0.0389922031381238,-0.004223573,0.000100177,-0.003655242,0.005586537,-2.8449465006019636e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0018_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0018_truth.json,-0.44323618520265196,0.06899575685162647,0.7977754433423536,-0.5451702472151143,0.1237081057412078,0.025785008142354404,0.5596241243187859,1
s0019,0.1018699889360922,-0.02478085981478527,0.775,0.3312461192809103,1,1,1,,130,108,87,103,0,5379.0,19.2039737701416,0.34843626618385315,-0.2589748075949539,0.08388298636483071,0.06985121962860322,0.108689699,-0.027280687,0.777775564,0.10186998893609221,-0.02478085981478527,0.7717509055999993,3.9310539314637575e-16,-8.91402087661546e-17,0.16486689653488792,0.9863158248892464,0.3312461192809103,0.006819710,-0.002499827,0.006024658,0.009436847,0.0,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0019_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0019_truth.json,-0.4589748075949539,0.08388298636483071,0.8198512196286032,-0.5608447965310461,0.10866384617961598,0.04810031402860393,0.5732960469706276,1
